iteration,killed_h_squish,killed_in_squish,killed_zombie,skipped_in,saved_h,saved_in,killed_z,killed_c,saved_z,saved_c
0,0,1,0,1,1,0,1,0,0,0
1,0,2,1,0,2,0,1,0,2,0
2,1,1,0,2,2,0,0,0,0,0
3,2,1,2,1,0,0,2,0,2,0
4,1,2,3,2,0,0,2,0,1,0
5,3,5,1,1,1,0,1,0,2,0
6,0,2,0,2,2,1,0,0,2,0
7,1,1,3,2,2,2,1,0,2,0
8,0,1,0,0,3,0,1,0,0,0
9,1,1,0,3,1,2,2,0,1,0
10,1,1,0,0,0,2,2,0,1,0
11,0,0,0,0,1,1,0,0,0,0
12,1,3,0,0,2,1,1,0,0,0
13,2,3,0,0,0,0,0,0,2,0
14,1,0,1,2,1,0,1,0,2,0
15,0,5,0,2,0,2,3,0,2,0
16,1,4,0,0,0,2,1,0,0,0
17,0,0,0,2,1,1,0,0,2,0
18,1,1,1,0,0,0,0,0,1,0
19,1,5,3,2,0,0,0,0,1,0
20,0,1,0,2,0,3,1,0,1,0
21,0,1,0,1,0,1,3,0,0,0
22,1,3,1,4,0,2,1,0,3,0
23,2,0,0,1,1,0,1,0,5,0
24,3,0,0,2,0,0,0,0,1,0
25,2,0,2,3,1,1,1,0,1,0
26,1,4,0,1,2,1,2,0,1,0
27,0,1,0,1,0,2,1,0,1,0
28,2,2,0,1,1,2,1,0,2,0
29,1,3,0,6,1,2,1,0,0,0
30,2,1,0,1,1,2,3,0,2,0
31,2,2,0,2,2,1,1,0,1,0
32,1,1,1,4,0,1,4,0,2,0
33,1,1,0,3,0,0,0,0,0,0
34,0,2,0,2,1,1,1,0,1,0
35,1,1,0,1,0,1,2,0,1,0
36,2,0,1,3,1,1,2,0,4,0
37,2,4,1,1,1,1,0,0,6,0
38,0,4,1,1,0,0,1,0,2,0
39,1,1,2,1,1,0,1,0,2,0
40,2,2,2,2,2,2,2,0,3,0
41,1,0,0,1,1,2,0,0,1,0
42,0,1,0,1,0,0,3,0,2,0
43,0,4,0,0,3,6,2,0,1,0
44,1,2,0,3,1,0,2,0,2,0
45,1,4,0,2,1,1,0,0,1,0
46,0,0,0,1,1,0,0,0,1,0
47,1,3,2,1,2,0,1,0,1,0
48,0,3,0,1,1,0,1,0,1,0
49,0,1,0,1,1,0,1,0,1,0
50,1,0,0,2,1,0,0,0,2,0
51,0,0,0,1,0,0,0,0,2,0
52,4,1,1,3,0,0,7,0,2,0
53,0,0,0,0,0,0,0,0,1,0
54,3,2,2,1,0,1,0,0,3,0
55,1,0,1,0,0,0,0,0,2,0
56,1,0,3,3,0,1,2,0,2,0
57,0,1,0,1,0,1,0,0,2,0
58,2,4,1,2,0,3,1,0,1,0
59,0,2,0,3,1,0,2,0,3,0
60,0,2,1,0,1,1,0,0,2,0
61,1,0,0,1,1,0,1,0,2,0
62,1,0,0,3,0,1,1,0,4,0
63,0,0,0,1,4,4,2,0,1,0
64,0,1,0,2,1,0,1,0,1,0
65,0,0,2,0,1,2,1,0,2,0
66,1,2,1,3,0,0,0,0,4,0
67,2,0,0,1,2,1,2,0,0,0
68,0,1,0,1,0,1,3,0,2,0
69,0,1,1,0,0,0,0,0,1,0
70,2,1,0,1,0,1,1,0,1,0
71,1,1,0,1,0,0,3,0,1,0
72,0,2,2,0,0,1,0,0,2,0
73,1,1,1,5,0,2,3,0,3,0
74,0,0,0,0,0,1,0,0,1,0
75,1,0,1,3,1,1,0,0,2,0
76,1,1,2,3,1,0,1,0,5,0
77,0,2,0,0,0,1,1,0,1,0
78,2,1,0,3,0,0,1,0,0,0
79,0,3,0,2,0,3,0,0,3,0
80,0,2,2,3,0,0,1,0,1,0
81,1,0,0,0,2,0,0,0,1,0
82,1,2,1,4,2,2,2,0,4,0
83,1,4,0,1,0,0,1,0,0,0
84,2,4,4,3,0,1,1,0,3,0
85,1,1,0,1,1,1,2,0,0,0
86,3,3,1,1,0,1,1,0,2,0
87,1,0,0,2,0,0,2,0,2,0
88,1,3,2,2,0,0,0,0,1,0
89,1,3,0,5,1,1,2,0,4,0
90,0,1,0,0,0,2,2,0,0,0
91,0,0,0,0,2,0,1,0,2,0
92,1,2,0,1,2,0,1,0,0,0
93,0,0,0,0,1,4,2,0,0,0
94,0,0,0,0,1,1,2,0,1,0
95,0,1,2,0,0,0,2,0,1,0
96,1,0,0,1,1,0,2,0,0,0
97,0,0,0,5,2,2,6,0,1,0
98,0,0,0,0,0,0,0,0,0,0
99,0,1,0,3,0,0,0,0,3,0
100,0,0,0,1,0,0,1,0,0,0
101,0,1,0,2,0,0,3,0,1,0
102,0,2,0,1,0,3,2,0,1,0
103,0,0,0,0,0,1,2,0,0,0
104,1,2,1,1,1,1,0,0,1,0
105,2,0,0,3,0,2,3,0,1,0
106,0,3,0,0,1,1,0,0,1,0
107,0,2,0,2,1,2,0,0,2,0
108,0,2,1,2,0,0,2,0,1,0
109,0,0,1,1,1,1,1,0,3,0
110,1,1,1,2,0,0,1,0,2,0
111,0,0,0,0,1,0,0,0,0,0
112,1,4,0,5,2,1,2,0,2,0
113,1,1,0,3,0,2,1,0,3,0
114,1,2,1,3,0,1,1,0,3,0
115,1,0,0,3,2,1,0,0,2,0
116,2,2,0,0,0,4,2,0,2,0
117,1,2,3,0,1,2,1,0,2,0
118,2,1,0,1,1,0,0,0,0,0
119,0,0,0,0,1,1,0,0,2,0
120,1,1,1,0,0,2,0,0,3,0
121,2,3,0,1,1,1,2,0,2,0
122,0,3,3,2,2,1,4,0,4,0
123,1,2,3,2,0,0,5,0,4,0
124,0,3,0,0,0,0,0,0,1,0
125,1,1,0,1,1,1,2,0,0,0
126,1,1,0,4,1,1,1,0,4,0
127,0,2,0,0,1,1,1,0,0,0
128,2,2,0,0,0,0,2,0,2,0
129,2,2,0,1,0,0,1,0,1,0
130,2,2,1,0,0,1,0,0,2,0
131,1,1,2,1,0,0,3,0,2,0
132,1,2,1,1,1,1,2,0,3,0
133,0,2,0,1,0,3,1,0,3,0
134,1,2,0,1,0,2,0,0,1,0
135,3,0,3,3,1,0,3,0,2,0
136,1,1,0,1,0,0,3,0,3,0
137,0,1,0,1,0,1,1,0,2,0
138,1,0,0,0,1,2,0,0,2,0
139,0,2,0,0,2,1,0,0,0,0
140,0,0,0,4,0,0,3,0,1,0
141,1,1,0,0,0,1,0,0,0,0
142,0,1,0,2,3,2,3,0,0,0
143,0,0,0,0,4,3,0,0,0,0
144,1,4,2,2,2,1,1,0,3,0
145,2,1,0,4,0,0,0,0,1,0
146,0,2,0,1,0,0,0,0,2,0
147,1,2,2,3,1,0,3,0,2,0
148,0,2,0,4,1,1,3,0,1,0
149,1,0,1,0,1,0,2,0,3,0
150,1,1,0,1,0,4,1,0,0,0
151,1,2,1,1,3,1,4,0,2,0
152,0,2,2,3,0,1,1,0,3,0
153,2,0,2,0,2,0,2,0,3,0
154,2,3,0,0,0,2,3,0,3,0
155,1,1,2,3,0,2,0,0,2,0
156,0,1,0,0,0,0,0,0,0,0
157,1,2,0,2,1,2,3,0,1,0
158,1,1,2,4,0,0,1,0,5,0
159,0,1,0,2,1,0,0,0,2,0
160,2,4,0,4,0,1,3,0,2,0
161,0,1,3,2,1,0,0,0,2,0
162,1,0,0,2,1,2,2,0,3,0
163,1,1,0,3,1,3,1,0,0,0
164,3,2,1,1,0,1,1,0,1,0
165,0,0,0,1,1,2,1,0,2,0
166,0,1,2,1,0,2,3,0,1,0
167,1,1,0,2,0,0,1,0,2,0
168,1,3,0,2,1,2,1,0,2,0
169,0,2,0,1,0,1,1,0,5,0
170,1,1,0,1,1,2,1,0,1,0
171,2,2,0,3,1,2,2,0,1,0
172,1,1,0,3,0,1,1,0,2,0
173,0,0,0,0,2,1,0,0,0,0
174,1,4,4,4,0,0,3,0,3,0
175,0,1,0,0,0,2,0,0,1,0
176,0,1,1,1,1,0,0,0,4,0
177,0,1,1,3,0,1,0,0,3,0
178,1,0,0,1,0,1,0,0,0,0
179,0,6,1,2,1,0,1,0,4,0
180,1,2,3,1,2,0,3,0,4,0
181,0,1,1,2,0,0,0,0,1,0
182,2,1,0,1,1,1,0,0,1,0
183,2,4,0,0,1,0,1,0,3,0
184,2,0,1,1,1,0,0,0,1,0
185,1,1,0,1,1,0,1,0,2,0
186,1,1,1,0,0,2,3,0,1,0
187,1,1,0,2,1,1,1,0,1,0
188,3,6,2,2,1,2,4,0,3,0
189,2,1,2,0,0,2,1,0,1,0
190,1,2,0,1,0,2,0,0,4,0
191,1,2,0,0,0,2,0,0,0,0
192,1,3,0,2,0,0,3,0,3,0
193,2,1,0,4,0,0,2,0,1,0
194,0,1,0,1,1,1,2,0,0,0
195,1,6,0,0,2,1,3,0,2,0
196,1,1,2,0,1,0,0,0,5,0
197,2,3,2,2,0,0,0,0,4,0
198,0,4,0,2,1,0,1,0,2,0
199,2,1,0,1,3,2,4,0,0,0
200,0,1,0,5,2,0,2,0,0,0
201,1,0,1,1,1,1,1,0,3,0
202,0,1,0,2,1,0,2,0,1,0
203,0,1,3,1,0,1,1,0,1,0
204,0,2,4,3,0,0,1,0,3,0
205,1,1,0,0,1,1,1,0,0,0
206,0,2,0,0,1,0,1,0,2,0
207,1,0,0,0,1,2,3,0,0,0
208,0,0,1,1,1,0,0,0,1,0
209,0,0,0,0,1,2,1,0,2,0
210,2,3,0,3,1,3,3,0,0,0
211,1,0,3,5,0,0,4,0,4,0
212,0,1,0,0,1,0,1,0,0,0
213,1,2,0,1,2,0,0,0,1,0
214,0,2,0,2,2,2,4,0,0,0
215,0,4,2,1,3,2,4,0,2,0
216,0,0,0,2,1,3,0,0,0,0
217,0,7,4,3,3,0,5,0,4,0
218,0,1,1,2,0,1,0,0,4,0
219,3,2,3,4,0,1,3,0,2,0
220,1,1,0,1,0,1,2,0,3,0
221,2,4,4,2,0,1,4,0,2,0
222,2,0,0,3,2,1,3,0,1,0
223,1,3,1,3,3,0,2,0,3,0
224,1,4,0,1,1,1,0,0,0,0
225,1,2,0,3,0,0,0,0,1,0
226,0,2,0,0,3,1,0,0,0,0
227,0,0,0,4,0,0,3,0,0,0
228,1,0,0,0,0,0,2,0,0,0
229,0,1,1,2,1,1,1,0,1,0
230,2,2,0,2,0,1,0,0,1,0
231,3,4,4,4,1,0,3,0,4,0
232,0,2,0,0,1,3,0,0,0,0
233,1,1,0,1,0,0,0,0,1,0
234,0,0,0,0,0,1,1,0,0,0
235,1,1,0,0,2,1,1,0,0,0
236,2,3,1,2,0,1,3,0,5,0
237,2,3,1,4,1,2,2,0,2,0
238,2,2,1,3,0,1,2,0,1,0
239,4,2,1,2,0,0,0,0,2,0
240,0,1,3,3,1,1,2,0,2,0
241,2,1,0,1,0,3,3,0,1,0
242,2,3,0,0,5,3,3,0,1,0
243,0,1,1,3,0,2,0,0,2,0
244,2,2,2,3,0,0,2,0,2,0
245,1,1,0,1,0,0,0,0,1,0
246,0,1,1,1,1,0,2,0,1,0
247,2,3,0,3,2,1,1,0,1,0
248,1,3,1,1,1,2,1,0,1,0
249,2,1,3,3,0,0,3,0,1,0
250,0,1,0,3,2,1,1,0,1,0
251,1,2,1,2,1,0,3,0,3,0
252,1,1,1,2,1,0,1,0,3,0
253,1,2,0,1,1,1,1,0,0,0
254,1,2,0,3,0,2,0,0,2,0
255,0,1,0,0,2,0,0,0,0,0
256,0,2,0,1,0,3,0,0,0,0
257,3,2,0,2,0,0,1,0,2,0
258,2,1,0,0,0,3,0,0,0,0
259,1,0,1,2,0,1,1,0,1,0
260,0,2,4,5,0,1,4,0,2,0
261,3,4,1,4,0,2,2,0,3,0
262,0,3,2,5,1,0,3,0,2,0
263,0,1,0,1,1,1,2,0,5,0
264,0,2,0,1,0,0,2,0,2,0
265,3,1,1,3,0,2,1,0,1,0
266,0,1,1,1,0,0,2,0,2,0
267,2,2,1,4,1,1,0,0,1,0
268,0,2,0,1,1,0,2,0,0,0
269,0,1,0,1,1,1,3,0,0,0
270,0,1,1,2,2,1,1,0,1,0
271,0,2,1,2,0,0,0,0,3,0
272,0,1,0,0,1,0,1,0,0,0
273,1,1,3,3,0,0,0,0,3,0
274,2,1,0,1,0,0,0,0,5,0
275,1,4,3,1,0,0,0,0,4,0
276,0,1,0,1,0,1,0,0,3,0
277,0,3,0,0,1,1,3,0,0,0
278,0,4,0,2,0,0,1,0,1,0
279,0,2,0,3,0,0,2,0,3,0
280,2,1,0,2,2,1,2,0,0,0
281,0,1,0,0,0,1,2,0,1,0
282,2,6,2,3,1,1,4,0,3,0
283,0,4,1,2,2,0,0,0,1,0
284,1,1,0,1,1,2,4,0,1,0
285,1,0,0,0,0,1,1,0,2,0
286,1,5,0,1,1,1,2,0,0,0
287,0,2,4,0,0,0,1,0,2,0
288,0,2,1,1,0,1,1,0,1,0
289,0,1,0,1,0,1,2,0,0,0
290,0,1,0,1,1,0,1,0,2,0
291,0,0,1,1,1,0,0,0,2,0
292,0,2,0,1,1,2,4,0,1,0
293,0,1,0,0,0,0,2,0,0,0
294,1,1,3,0,0,2,1,0,2,0
295,0,1,0,1,1,0,3,0,0,0
296,0,1,1,1,0,1,2,0,4,0
297,0,0,0,0,1,0,0,0,2,0
298,0,3,5,1,0,0,4,0,4,0
299,1,2,0,0,0,0,3,0,2,0
300,0,2,0,1,2,3,0,0,0,0
301,0,3,0,0,1,2,1,0,1,0
302,1,2,0,0,0,0,2,0,3,0
303,0,1,0,1,1,0,2,0,0,0
304,0,2,2,1,2,1,3,0,2,0
305,0,1,0,0,1,1,1,0,0,0
306,3,3,0,0,2,0,0,0,3,0
307,1,3,3,2,0,0,2,0,2,0
308,1,0,0,3,1,1,1,0,0,0
309,3,4,1,5,0,0,2,0,1,0
310,1,2,2,1,0,1,3,0,2,0
311,0,0,0,2,0,0,3,0,2,0
312,2,2,0,2,0,0,4,0,1,0
313,1,1,0,1,1,1,1,0,0,0
314,0,2,0,2,0,0,0,0,0,0
315,1,2,0,0,0,4,0,0,1,0
316,0,1,0,2,1,1,0,0,4,0
317,4,4,1,2,2,0,1,0,2,0
318,1,3,0,1,1,1,1,0,0,0
319,0,0,2,3,0,1,0,0,1,0
320,0,0,0,5,4,2,1,0,1,0
321,0,1,0,3,1,0,0,0,0,0
322,3,1,2,2,1,0,0,0,2,0
323,0,0,1,2,1,0,1,0,2,0
324,0,2,3,1,0,1,4,0,4,0
325,2,0,0,1,1,2,1,0,2,0
326,2,1,4,1,2,0,2,0,1,0
327,0,0,0,0,2,0,0,0,0,0
328,2,0,3,0,1,0,1,0,2,0
329,0,5,0,2,1,1,1,0,0,0
330,0,2,1,1,0,3,4,0,2,0
331,1,0,0,0,0,0,1,0,1,0
332,1,1,3,2,0,0,1,0,1,0
